,attack,classes,collectionText,cost,dbfId,durability,dust,entourage,faction,flavor,health,howToEarnGolden,id,mechanics,multiClassGroup,name,overload,playRequirements,playerClass,race,rarity,set,spellDamage,text,type
6,,,,,39045.0,,,,,,,,OG_337e,,,Eve of Destruction,,,NEUTRAL,,,OG,,Stats increased.,ENCHANTMENT
8,,,,,2166.0,,,,,,,,GVG_011a,['TAG_ONE_TURN_EFFECT'],,Shrink Ray,,,NEUTRAL,,,GVG,,-2 Attack this turn.,ENCHANTMENT
11,,,,,1402.0,,,,,,,,CS2_122e,,,Enhanced,,,NEUTRAL,,,CORE,,Raid Leader is granting this minion +1 Attack.,ENCHANTMENT
14,,,,,41672.0,,,,,,,,CFM_334e,,,Smuggling,,,NEUTRAL,,,GANGS,,+2/+2 from Smuggler's Crate.,ENCHANTMENT
32,,,,,2312.0,,,,,,,,BRM_011t,['TAG_ONE_TURN_EFFECT'],,Lava Shock,,,SHAMAN,,,BRM,,Cards you play this turn don't cause <b>Overload</b>.,ENCHANTMENT
40,,,,,2428.0,,,,,,,,BRM_004e,,,Twilight Endurance,,,NEUTRAL,,,BRM,,Increased Health.,ENCHANTMENT
43,,,,,849.0,,,,,,,,EX1_295o,['TAG_ONE_TURN_EFFECT'],,Ice Block,,,MAGE,,,EXPERT1,,Your hero is <b>Immune</b> this turn.,ENCHANTMENT
50,,,,,1918.0,,,,,,,,EX1_382e,,,Stand Down!,,,PALADIN,,,EXPERT1,,Attack changed to 1.,ENCHANTMENT
51,,,,,1760.0,,,,,,,,EX1_145o,['TAG_ONE_TURN_EFFECT'],,Preparation,,,ROGUE,,,EXPERT1,,The next spell you cast this turn costs (3) less.,ENCHANTMENT
56,,,,,24937.0,,,,,,,,LOEA09_2e,['TAG_ONE_TURN_EFFECT'],,Enraged,,,NEUTRAL,,,LOE,,+2 Attack,ENCHANTMENT
59,,,,,1708.0,,,,,,,,EX1_570e,['TAG_ONE_TURN_EFFECT'],,Bite,,,NEUTRAL,,,EXPERT1,,+4 Attack this turn.,ENCHANTMENT
