,attack,classes,collectionText,cost,dbfId,durability,dust,entourage,faction,flavor,health,howToEarnGolden,id,mechanics,multiClassGroup,name,overload,playRequirements,playerClass,race,rarity,set,spellDamage,text,type
9,,,,2.0,36744.0,,,,,,,,NAX8_02H_TB,,,Harvest,,,NEUTRAL,,,TB,,"<b>Hero Power</b>
Draw a card. Gain a Mana Crystal.",HERO_POWER
12,,,,0.0,38699.0,,,,,,,,LOEA05_02ha,,,Trogg Hate Minions!,,,NEUTRAL,,,LOE,,"<b>Passive Hero Power</b>
 Enemy minions cost (11). Swap at the start of your turn.",HERO_POWER
13,,,,2.0,30374.0,,,,,,,,CS2_102_H1_AT_132,,,Tank Up!,,,WARRIOR,,,HERO_SKINS,,"<b>Hero Power</b>
Gain 4 Armor.",HERO_POWER
27,,,,2.0,2833.0,,,,,,,,DS1h_292_H1,,,Steady Shot,,"{'REQ_MINION_OR_ENEMY_HERO': 0, 'REQ_STEADY_SHOT': 0}",HUNTER,,FREE,HERO_SKINS,,"<b>Hero Power</b>
Deal $2 damage to the enemy hero.",HERO_POWER
34,,,,2.0,2335.0,,,,,,,,BRMA06_2,,,The Majordomo,,{'REQ_NUM_MINION_SLOTS': 1},NEUTRAL,,,BRM,,"<b>Hero Power</b>
Summon a 1/3 Flamewaker Acolyte.",HERO_POWER
36,,,,1.0,1854.0,,,,,,,,NAX5_02,,,Eruption,,{'REQ_MINIMUM_ENEMY_MINIONS': 1},NEUTRAL,,,NAXX,,"<b>Hero Power</b>
Deal 2 damage to the left-most enemy minion.",HERO_POWER
37,,,,0.0,2329.0,,,,,,,,BRMA05_2,,,Ignite Mana,,,NEUTRAL,,,BRM,,"<b>Hero Power</b>
Deal 5 damage to the enemy hero if they have any unspent Mana.",HERO_POWER
38,,,,0.0,2475.0,,,,,,,,BRMA10_3H,['AI_MUST_PLAY'],,The Rookery,,,NEUTRAL,,,BRM,,"<b>Hero Power</b>
Give all Corrupted Eggs +1 Health, then summon one.",HERO_POWER
46,,,,1.0,2467.0,,,,,,,,BRMA13_4H,['AI_MUST_PLAY'],,Wild Magic,,,NEUTRAL,,,BRM,,"<b>Hero Power</b>
Put a random spell from your opponent's class into your hand.",HERO_POWER
48,,,,2.0,39544.0,,,"['KAR_A10_09', 'KAR_A10_02', 'KAR_A10_08', 'KAR_A10_04', 'KAR_A10_05']",,,,,KAR_A10_22,,,Castle,,,NEUTRAL,,,KARA,,"<b>Hero Power</b>
<b>Discover</b> a chess piece.",HERO_POWER
