,attack,classes,collectionText,cost,dbfId,durability,dust,entourage,faction,flavor,health,howToEarnGolden,id,mechanics,multiClassGroup,name,overload,playRequirements,playerClass,race,rarity,set,spellDamage,text,type
7,,,,,2452.0,,,,,,50.0,,BRMA08_1H,,,General Drakkisath,,,NEUTRAL,,,BRM,,,HERO
22,,,,,2357.0,,,,,,30.0,,BRMA11_1,,,Vaelastrasz the Corrupt,,,NEUTRAL,,,BRM,,,HERO
24,,,,,1837.0,,,,,,30.0,,NAX1_01,,,Anub'Rekhan,,{'REQ_NUM_MINION_SLOTS': 1},NEUTRAL,,,NAXX,,,HERO
47,,,,,17099.0,,,,,,30.0,,LOEA08_01,,,Archaedas,,,NEUTRAL,,,LOE,,,HERO
52,,,,,2147.0,,,,,,45.0,,NAX15_01H,,,Kel'Thuzad,,,NEUTRAL,,,NAXX,,,HERO
53,,,,,1325.0,,,,,,30.0,,TU4a_006,,,Jaina Proudmoore,,,MAGE,,COMMON,MISSIONS,,,HERO
55,,,,,38554.0,,,,,,30.0,,LOEA05_01h,,,Chieftain Scarvash,,,NEUTRAL,,,LOE,,,HERO
78,,,,,40079.0,,,,,,60.0,,KARA_00_01H,,,Prince Malchezaar,,,NEUTRAL,,,KARA,,,HERO
98,,,,,1827.0,,,,,,30.0,,NAX12_01,,,Gluth,,,NEUTRAL,,,NAXX,,,HERO
106,,,,,38511.0,,,,,,100.0,,LOEA04_01h,,,Temple Escape,,,NEUTRAL,,,LOE,,,HERO
125,,,,,39644.0,,,,,,30.0,,KARA_09_01,,,Terestian Illhoof,,,NEUTRAL,,,KARA,,,HERO
137,,,,,1301.0,,,,,,10.0,,TU4a_001,,,Hogger,,,NEUTRAL,,COMMON,MISSIONS,,,HERO
180,,,,,41115.0,,,,,,0.0,,KARA_00_03c,,,Medivh,,,NEUTRAL,,,KARA,,,HERO
186,,,,,2140.0,,,,,,45.0,,NAX12_01H,,,Gluth,,,NEUTRAL,,,NAXX,,,HERO
239,,,,,2122.0,,,,,,14.0,,NAX9_01H,,,Baron Rivendare,,,NEUTRAL,,,NAXX,,,HERO
241,,,,,2474.0,,,,,,30.0,,BRMA16_1H,,,Atramedes,,,NEUTRAL,,,BRM,,,HERO
258,,,,,39542.0,,,,,,20.0,,KAR_a10_Boss2,,,Black King,,,NEUTRAL,,,KARA,,,HERO
279,,,,,1899.0,,,,,,30.0,,NAX14_01,,,Sapphiron,,,NEUTRAL,,,NAXX,,,HERO
326,,,,,40060.0,,,,,,30.0,,KARA_08_01H,,,Netherspite,,,NEUTRAL,,,KARA,,,HERO
335,,,,,2454.0,,,,,,30.0,,BRMA10_1H,,,Razorgore the Untamed,,,NEUTRAL,,,BRM,,,HERO
351,,,,,2313.0,,,,,,30.0,,BRMA01_1,['AI_MUST_PLAY'],,Coren Direbrew,,,NEUTRAL,,,BRM,,,HERO
356,,,,,40082.0,,,,,,30.0,,KAR_A02_12H,,,Silverware Golem,,,NEUTRAL,,,KARA,,,HERO
384,,,,,2464.0,,,,,,30.0,,BRMA13_1H,,,Lord Victor Nefarius,,,NEUTRAL,,,BRM,,,HERO
440,,,,,2449.0,,,,,,30.0,,BRMA06_3H,,,Ragnaros the Firelord,,,NEUTRAL,,,BRM,,,HERO
485,,,,,35933.0,,,,,,30.0,,TB_MechWar_Boss2,,,Boom Bot,,,NEUTRAL,,FREE,TB,,,HERO
507,,,,,40088.0,,,,,,20.0,,KAR_a10_Boss2H,,,Black King,,,NEUTRAL,,,KARA,,,HERO
511,,,,,2457.0,,,,,,60.0,,BRMA12_1H,,,Chromaggus,,,NEUTRAL,,,BRM,,,HERO
