,attack,classes,collectionText,cost,dbfId,durability,dust,entourage,faction,flavor,health,howToEarnGolden,id,mechanics,multiClassGroup,name,overload,playRequirements,playerClass,race,rarity,set,spellDamage,text,type
2,2.0,,,3.0,2311.0,,"[40, 400, 5, 50]",,,,5.0,,BRM_010t2,,,Druid of the Flame,,,DRUID,BEAST,COMMON,BRM,,,MINION
3,6.0,,,6.0,2736.0,,"[1600, 3200, 400, 1600]",,,It's like putting racing stripes and a giant spoiler on your hero power.,3.0,,AT_132,['BATTLECRY'],,Justicar Trueheart,,,NEUTRAL,,LEGENDARY,TGT,,<b>Battlecry:</b> Replace your starting Hero Power with a better one.,MINION
4,10.0,,,10.0,38521.0,,"[40, 400, 5, 50]",,,"Rejected names: Forty-Foot Faceless, Big ol' No-face, Huge Creature Sans Face, Teddy.",10.0,,OG_141,,,Faceless Behemoth,,,NEUTRAL,,COMMON,OG,,,MINION
5,9.0,,,9.0,1777.0,,,,,,9.0,,CRED_17,,,Rob Pardo,,,NEUTRAL,,LEGENDARY,CREDITS,,You can't start a game without this minion in your deck.,MINION
10,3.0,,,3.0,2519.0,,"[1600, 3200, 400, 1600]",,,"HATES being called ""the wonder twins"".",4.0,,AT_131,,,Eydis Darkbane,,,NEUTRAL,,LEGENDARY,TGT,,"Whenever <b>you</b> target this minion with a spell, deal 3 damage to a random enemy.",MINION
15,5.0,,,6.0,424.0,,"[40, 400, 5, 50]",,,"If she threatens to ""moon"" you, it's not what you think.",4.0,,EX1_583,['BATTLECRY'],,Priestess of Elune,,,NEUTRAL,,COMMON,EXPERT1,,<b>Battlecry:</b> Restore 4 Health to your hero.,MINION
18,1.0,,,1.0,40549.0,,"[400, 1600, 100, 400]",,,He's the reason the First Bank of Gadgetzan has steel floors.,1.0,,CFM_095,['DEATHRATTLE'],,Weasel Tunneler,,,NEUTRAL,BEAST,EPIC,GANGS,,<b>Deathrattle:</b> Shuffle this minion into your opponent's deck.,MINION
19,5.0,,,5.0,2299.0,,"[100, 800, 20, 100]",,,Everybody wants someone to snuggle with. Even giant armored scaly draconic beasts of destruction.,5.0,"Crafting unlocked in Blackrock Spire, in the Blackrock Mountain adventure.",BRM_018,['BATTLECRY'],,Dragon Consort,,,PALADIN,DRAGON,RARE,BRM,,<b>Battlecry:</b> The next Dragon you play costs (2) less.,MINION
21,7.0,,,4.0,2608.0,,,,,,7.0,,BRMA10_5H,,,Chromatic Drake,,,NEUTRAL,DRAGON,,BRM,,,MINION
25,2.0,,,2.0,2096.0,,"[40, 400, 5, 50]",,,It's adorable! AND OH MY GOODNESS WHY IS IT EATING MY FACE,2.0,,GVG_030,"['CHOOSE_ONE', 'TAUNT']",,Anodized Robo Cub,,,DRUID,MECHANICAL,COMMON,GVG,,"<b>Taunt</b>. <b>Choose One -</b>
+1 Attack; or +1 Health.",MINION
