,attack,classes,collectionText,cost,dbfId,durability,dust,entourage,faction,flavor,health,howToEarnGolden,id,mechanics,multiClassGroup,name,overload,playRequirements,playerClass,race,rarity,set,spellDamage,text,type
0,,,,1.0,39762.0,,,,,,,,KARA_00_07,,,Astral Portal,,{'REQ_NUM_MINION_SLOTS': 1},MAGE,,,KARA,,Summon a random <b>Legendary</b> minion.,SPELL
1,,,,0.0,313.0,,,,,,,,NEW1_008a,,,Ancient Teachings,,,DRUID,,,EXPERT1,,Draw a card.,SPELL
16,,,,0.0,39044.0,,,,,,,,TB_PickYourFate_11rand,,,Dire Fate: Murlocs,,,NEUTRAL,,,TB,,Turn each minion in play into a 1/1 Murloc.,SPELL
17,,,,2.0,2998.0,,,,,,,,LOE_007t,"['EVIL_GLOW', 'ImmuneToSpellpower']",,Cursed!,,,WARLOCK,,,LOE,,"While this is in your hand, take 2 damage at the start of your turn.",SPELL
20,,,,4.0,1843.0,,,,,,,,PRO_001a,,,I Am Murloc,,{'REQ_NUM_MINION_SLOTS': 1},NEUTRAL,,,PROMO,,"Summon three, four, or five 1/1 Murlocs.",SPELL
23,,,,1.0,38266.0,,"[100, 800, 20, 100]",,,"So you say you want an evolution. Well, you know. We all want to change the board.",,,OG_027,,,Evolve,,,SHAMAN,,RARE,OG,,Transform your minions into random minions that cost (1) more.,SPELL
26,,,,6.0,40517.0,,"[100, 800, 20, 100]",,,Kazakus has a squad of imps bottling Felfire round-the-clock and he *still* can't keep up with demand.,,,CFM_094,,,Felfire Potion,,,WARLOCK,,RARE,GANGS,,Deal $5 damage to all characters.,SPELL
31,,,,7.0,39715.0,,"[40, 400, 5, 50]",,,"Come to beautiful Firelands! Where it's <i>""Way nicer than the Abyssal Maw!""</i>",,"Crafting unlocked in the Prologue, in One Night in Karazhan.",KAR_076,,,Firelands Portal,,{'REQ_TARGET_TO_PLAY': 0},MAGE,,COMMON,KARA,,"Deal $5 damage. Summon a random
5-Cost minion.",SPELL
33,,,,2.0,2535.0,,"[40, 400, 5, 50]",,,Very dangerous when attached to a demonbomb.,,,AT_024,,,Demonfuse,,"{'REQ_MINION_TARGET': 0, 'REQ_TARGET_TO_PLAY': 0, 'REQ_TARGET_WITH_RACE': 15}",WARLOCK,,COMMON,TGT,,Give a Demon +3/+3. Give your opponent a Mana Crystal.,SPELL
41,,,,1.0,38938.0,,,,,,,,OG_080c,,,Bloodthistle Toxin,,"{'REQ_FRIENDLY_TARGET': 0, 'REQ_MINION_TARGET': 0, 'REQ_TARGET_TO_PLAY': 0}",ROGUE,,,OG,,"Return a friendly minion to your hand.
It costs (2) less.",SPELL
42,,,,2.0,51.0,,,,,"Windfury is like Earthfury and Firefury, but more light and airy.",,Unlocked at Level 23.,CS2_039,,,Windfury,,"{'REQ_MINION_TARGET': 0, 'REQ_TARGET_TO_PLAY': 0}",SHAMAN,,FREE,CORE,,Give a minion <b>Windfury</b>.,SPELL
45,,,,0.0,9082.0,,,,,,,,LOE_110t,"['TOPDECK', 'ImmuneToSpellpower']",,Ancient Curse,,,NEUTRAL,,,LOE,,"When you draw this, take 7 damage and draw a card.",SPELL
49,,,,9.0,38727.0,,"[400, 1600, 100, 400]",,,"""Hello. Misha, Leokk and Huffer aren't here right now, but if you leave a message we'll get back to you right away."" BEEP.",,,OG_211,,,Call of the Wild,,,HUNTER,,EPIC,OG,,Summon all three Animal Companions.,SPELL
54,,,,2.0,40961.0,,,,,,,,TB_KaraPortal_002,,,Call Mediva,,{'REQ_MINION_TARGET': 0},NEUTRAL,,FREE,TB,,Summon a random Mediva,SPELL
65,,,,0.0,38434.0,,"[400, 1600, 100, 400]",,,But the minion arrives covered in goo.,,,OG_101,,,Forbidden Shaping,,,PRIEST,,EPIC,OG,,Spend all your Mana. Summon a random minion that costs that much.,SPELL
66,,,,4.0,250.0,,,,,"A good paladin has many tools.  Hammer of Wrath, Pliers of Vengeance, Hacksaw of Justice, etc.",,Unlocked at Level 32.,CS2_094,,,Hammer of Wrath,,{'REQ_TARGET_TO_PLAY': 0},PALADIN,,FREE,CORE,,"Deal $3 damage.
Draw a card.",SPELL
69,,,,10.0,41604.0,,,,,,,,CFM_621t15,,,Kazakus Potion,,,NEUTRAL,,,GANGS,,"{0}
{1}",SPELL
77,,,,5.0,1884.0,,,,,,,,NAX9_07,,,Mark of the Horsemen,,,NEUTRAL,,,NAXX,,Give your minions and your weapon +1/+1.,SPELL
79,,,,2.0,2398.0,,,,,,,,BRMA15_3,,,Release the Aberrations!,,{'REQ_NUM_MINION_SLOTS': 1},NEUTRAL,,,BRM,,Summon 3 Aberrations.,SPELL
82,,,,2.0,2641.0,,"[40, 400, 5, 50]",,,"You'll never guess what's in that conveniently bear-sized, bear-smelling box.",,,AT_060,['SECRET'],,Bear Trap,,,HUNTER,,COMMON,TGT,,"<b>Secret:</b> After your hero is attacked, summon a 3/3 Bear with <b>Taunt</b>.",SPELL
