Name,Card 1,Card 2,Card 3,Card 4,Card 5,Card 6,Card 7,Card 8,Card 9,Card 10,Card 11,Card 12,Card 13,Card 14,Card 15,Card 16,Card 17,Card 18,Card 19,Card 20,Card 21,Card 22,Card 23,Card 24,Card 25,Card 26,Card 27,Card 28,Card 29,Card 30,Deck
973540-hinamoris-tempo-nzoth-keleseth-razakus-priest,acolyte of pain,bloodsail corsair,bonemare,cabal shadow priest,cairne bloodhoof,cobalt scalebane,crystalline oracle,curious glimmerroot,dragonfire potion,fire fly,kabal songstealer,kabal talonpriest,kazakus,mistress of mixtures,northshire cleric,nzoth the corruptor,obsidian statue,patches the pirate,potion of madness,power word shield,primordial drake,prince keleseth,raza the chained,saronite chain gang,shadow word death,shadowreaper anduin,shifting shade,southsea captain,tar creeper,tortollan shellraiser,0
970858-top-80-legend-keleseth-dragon-razakus-priest,acolyte of pain,alexstrasza,bloodsail corsair,bone drake,bonemare,book wyrm,cabal shadow priest,cobalt scalebane,crystalline oracle,curious glimmerroot,dragonfire potion,drakonid operative,fire fly,kabal songstealer,kabal talonpriest,kazakus,mistress of mixtures,northshire cleric,patches the pirate,potion of madness,power word shield,primordial drake,prince keleseth,raza the chained,saronite chain gang,shadow word death,shadowreaper anduin,southsea captain,tar creeper,twilight drake,0
981429-k-c-temporus-dragon-combo,acolyte of pain,bloodmage thalnos,circle of healing,circle of healing,dragonfire potion,duskbreaker,duskbreaker,mind blast,mind blast,mirage caller,netherspite historian,netherspite historian,northshire cleric,northshire cleric,potion of madness,power word shield,power word shield,primordial drake,primordial drake,prophet velen,psychic scream,shadow visions,shadow visions,shadow word death,shadow word death,shadow word pain,spirit lash,temporus,twilight acolyte,wild pyromancer,1
983888-breakingnewss-kac-razakus-prince-dragon-priest,acolyte of pain,alexstrasza,bone drake,cobalt scalebane,crystalline oracle,curious glimmerroot,dragonfire potion,dragonslayer,drakonid operative,duskbreaker,fire fly,harrison jones,kabal songstealer,kabal talonpriest,kazakus,lone champion,mistress of mixtures,northshire cleric,potion of madness,power word shield,primordial drake,prince keleseth,psychic scream,raza the chained,shadow word death,shadowreaper anduin,skulking geist,tar creeper,twilight acolyte,twilight drake,0
982980-dragon-priest,book wyrm,cobalt scalebane,divine spirit,divine spirit,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,inner fire,inner fire,kabal talonpriest,kabal talonpriest,netherspite historian,netherspite historian,northshire cleric,northshire cleric,potion of madness,power word shield,power word shield,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word death,shadow word pain,twilight acolyte,twilight acolyte,twilight drake,twilight drake,1
991162-dragon-priest,cobalt scalebane,cobalt scalebane,divine spirit,divine spirit,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,inner fire,inner fire,kabal talonpriest,kabal talonpriest,lyra the sunshard,netherspite historian,netherspite historian,northshire cleric,northshire cleric,power word shield,power word shield,psychic scream,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word death,twilight acolyte,twilight drake,twilight drake,1
990861-big-priest,barnes,circle of healing,circle of healing,dragonfire potion,dragonfire potion,embrace the shadow,embrace the shadow,eternal servitude,eternal servitude,greater healing potion,greater healing potion,lesser diamond spellstone,lesser diamond spellstone,obsidian statue,obsidian statue,psychic scream,shadow essence,shadow essence,shadow visions,shadow visions,shadow word death,shadow word death,shadow word pain,shadow word pain,shadowreaper anduin,silence,silence,the lich king,ysera,yshaarj rage unbound,2
982457-k-c-dragon-priest,cobalt scalebane,cobalt scalebane,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,lyra the sunshard,netherspite historian,netherspite historian,northshire cleric,northshire cleric,potion of madness,potion of madness,power word shield,power word shield,primordial drake,primordial drake,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word death,shadow word pain,shadow word pain,twilight acolyte,twilight acolyte,twilight drake,twilight drake,1
977769-smrtakcz-shadowreaper-otk,acolyte of pain,auchenai soulpriest,binding heal,circle of healing,dragonfire potion,gadgetzan auctioneer,holy fire,holy smite,kabal courier,kabal talonpriest,loot hoarder,mass dispel,mind blast,northshire cleric,novice engineer,potion of madness,power word shield,priest of the feast,prophet velen,radiant elemental,raza the chained,shadow visions,shadow word death,shadow word pain,shadowreaper anduin,silence,spirit lash,tar creeper,thoughtsteal,wild pyromancer,0
990090-dragonrattle-priest,awaken the makers,cairne bloodhoof,deathwing dragonlord,doomsayer,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,loot hoarder,loot hoarder,mistress of mixtures,netherspite historian,netherspite historian,nzoth the corruptor,obsidian statue,obsidian statue,potion of madness,power word shield,shadow visions,shadow visions,shadow word death,tar creeper,tar creeper,tortollan shellraiser,tortollan shellraiser,twilight drake,twilight drake,twilights call,-1
984142-miracle-dragon,cobalt scalebane,cobalt scalebane,divine spirit,divine spirit,dragon soul,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,inner fire,kabal talonpriest,kabal talonpriest,lyra the sunshard,netherspite historian,netherspite historian,northshire cleric,northshire cleric,power word shield,power word shield,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word death,shadow word pain,shadow word pain,twilight drake,twilight drake,1
981828-kripp-master-thief,archbishop benedictus,cabal shadow priest,cabal shadow priest,crystalline oracle,crystalline oracle,curious glimmerroot,curious glimmerroot,devour mind,devour mind,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,lyra the sunshard,mind control,mind vision,mind vision,potion of madness,potion of madness,primordial drake,primordial drake,shadow madness,shadow madness,shadow visions,shadow visions,shadowreaper anduin,shifting shade,shifting shade,thoughtsteal,thoughtsteal,-1
980451-raza-deathrattle-knc,acolyte of pain,awaken the makers,bloodmage thalnos,curious glimmerroot,dragonfire potion,gadgetzan auctioneer,infested tauren,kazakus,loot hoarder,mind blast,mistress of mixtures,northshire cleric,nzoth the corruptor,obsidian statue,potion of madness,power word shield,priest of the feast,prophet velen,psychic scream,radiant elemental,raza the chained,shadow visions,shadow word death,shadow word pain,shadowreaper anduin,shifting shade,silence,spirit lash,tortollan shellraiser,twilights call,0
991720-big-priest-opieop,barnes,circle of healing,circle of healing,embrace the shadow,embrace the shadow,eternal servitude,eternal servitude,free from amber,greater healing potion,greater healing potion,lesser diamond spellstone,lesser diamond spellstone,obsidian statue,pint size potion,pint size potion,psychic scream,shadow essence,shadow essence,shadow visions,shadow visions,shadow word death,shadow word death,shadow word horror,shadow word horror,shadow word pain,shadow word pain,shadowreaper anduin,the lich king,ysera,yshaarj rage unbound,2
990355-kobold-dragon-priest,cobalt scalebane,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,lone champion,lone champion,mana geode,mana geode,netherspite historian,netherspite historian,northshire cleric,northshire cleric,potion of madness,potion of madness,power word shield,power word shield,primordial drake,scorp o matic,scorp o matic,shadow madness,shifting shade,twilight acolyte,twilight acolyte,twilight drake,unidentified elixir,unidentified elixir,wrathion,ysera,-1
