Name,Card 1,Card 2,Card 3,Card 4,Card 5,Card 6,Card 7,Card 8,Card 9,Card 10,Card 11,Card 12,Card 13,Card 14,Card 15,Card 16,Card 17,Card 18,Card 19,Card 20,Card 21,Card 22,Card 23,Card 24,Card 25,Card 26,Card 27,Card 28,Card 29,Card 30
991720-big-priest-opieop,circle of healing,circle of healing,pint size potion,pint size potion,embrace the shadow,embrace the shadow,shadow visions,shadow visions,shadow word pain,shadow word pain,shadow word death,shadow word death,eternal servitude,eternal servitude,greater healing potion,greater healing potion,shadow word horror,shadow word horror,shadow essence,shadow essence,lesser diamond spellstone,lesser diamond spellstone,psychic scream,free from amber,shadowreaper anduin,obsidian statue,barnes,the lich king,ysera,yshaarj rage unbound
993528-bahtams-big-priest,circle of healing,circle of healing,silence,embrace the shadow,embrace the shadow,shadow visions,shadow visions,shadow word pain,shadow word pain,shadow word death,shadow word death,eternal servitude,eternal servitude,greater healing potion,greater healing potion,dragonfire potion,dragonfire potion,shadow essence,shadow essence,lesser diamond spellstone,lesser diamond spellstone,psychic scream,psychic scream,shadowreaper anduin,obsidian statue,obsidian statue,barnes,the lich king,ysera,yshaarj rage unbound
990861-big-priest,circle of healing,circle of healing,silence,silence,embrace the shadow,embrace the shadow,shadow visions,shadow visions,shadow word pain,shadow word pain,shadow word death,shadow word death,eternal servitude,eternal servitude,greater healing potion,greater healing potion,dragonfire potion,dragonfire potion,shadow essence,shadow essence,lesser diamond spellstone,lesser diamond spellstone,psychic scream,shadowreaper anduin,obsidian statue,obsidian statue,barnes,the lich king,ysera,yshaarj rage unbound
992400-k-c-big-priest,silence,potion of madness,potion of madness,power word shield,power word shield,psionic probe,psionic probe,shadow visions,shadow visions,shadow word pain,shadow word pain,spirit lash,dragon soul,shadow word death,shadow word death,eternal servitude,eternal servitude,shadow word horror,shadow essence,shadow essence,lesser diamond spellstone,psychic scream,psychic scream,shadowreaper anduin,obsidian statue,obsidian statue,barnes,the lich king,ysera,yshaarj rage unbound
994146-kobolds-big-priest,pint size potion,pint size potion,potion of madness,shadow visions,shadow visions,shadow word pain,shadow word pain,shadow word death,shadow word death,eternal servitude,eternal servitude,greater healing potion,greater healing potion,shadow word horror,shadow word horror,holy nova,dragonfire potion,dragonfire potion,shadow essence,shadow essence,lesser diamond spellstone,lesser diamond spellstone,psychic scream,shadowreaper anduin,obsidian statue,obsidian statue,barnes,the lich king,ysera,yshaarj rage unbound
994088-the-essence-of-magic-big-priest,holy smite,pint size potion,pint size potion,potion of madness,potion of madness,mind blast,mind blast,shadow visions,shadow visions,shadow word pain,shadow word pain,spirit lash,spirit lash,shadow word death,shadow word death,eternal servitude,eternal servitude,shadow word horror,shadow word horror,dragonfire potion,dragonfire potion,shadow essence,shadow essence,lesser diamond spellstone,lesser diamond spellstone,prophet velen,shadowreaper anduin,barnes,malygos,yshaarj rage unbound
993991-one-minion-big-priest,awaken the makers,pint size potion,pint size potion,power word shield,power word shield,psionic probe,psionic probe,shadow visions,shadow visions,shadow word pain,shadow word pain,spirit lash,spirit lash,shadow word death,shadow word death,twilights call,twilights call,eternal servitude,eternal servitude,greater healing potion,greater healing potion,shadow word horror,shadow word horror,dragonfire potion,dragonfire potion,shadow essence,shadow essence,shadowreaper anduin,obsidian statue,obsidian statue
993660-big-dragon-priest,binding heal,northshire cleric,potion of madness,power word shield,shadow word pain,curious glimmerroot,kabal talonpriest,shadow word death,twilight acolyte,duskbreaker,drakonid operative,raza the chained,dragonfire potion,prophet velen,shadowreaper anduin,faerie dragon,golakka crawler,netherspite historian,gluttonous ooze,tar creeper,barnes,kazakus,twilight drake,cobalt scalebane,elise the trailblazer,bone drake,book wyrm,primordial drake,the lich king,ysera
993459-shadow-razakus-dragon-nzoth-quest,silence,awaken the makers,holy smite,northshire cleric,pint size potion,potion of madness,power word shield,shadow visions,shadow word pain,shadow word death,twilight acolyte,twilights call,duskbreaker,shadow word horror,drakonid operative,raza the chained,dragonfire potion,psychic scream,temporus,shadowreaper anduin,mistress of mixtures,bloodmage thalnos,loot hoarder,shallow gravedigger,tar creeper,void ripper,kazakus,carnivorous cube,bone drake,nzoth the corruptor
993353-rq-big-priest,holy smite,pint size potion,pint size potion,shadow visions,shadow visions,shadow word pain,shadow word pain,shadow word death,shadow word death,eternal servitude,eternal servitude,greater healing potion,greater healing potion,mass dispel,mass dispel,shadow word horror,shadow word horror,dragonfire potion,dragonfire potion,shadow essence,shadow essence,lesser diamond spellstone,shadowreaper anduin,obsidian statue,obsidian statue,barnes,the lich king,sleepy dragon,ysera,yshaarj rage unbound
